tanogocho
the,259
of,128
and,90
is,85
coupling,76
misalignment,61
to,51
in,49
efficiency,43
fiber,31
a,28
lateral,26
angular,26
that,26
optical,23
system,22
this,21
laser,21
for,20
temperature,19
effect,17
on,16
axial,16
be,16
as,16
are,15
view,15
with,15
beam,15
by,14
field,14
it,14
from,14
0,14
can,13
arpn,12
loss,12
lens,12
tolerance,11
all,10
was,10
focal,10
design,10
parameters,10
diode,10
change,10
microlens,9
engineering,9
between,9
an,9
length,9
[1],9
z,9
f,9
i,9
result,9
h,8
also,8
journal,8
1,8
range,8
which,8
very,8
we,8
2014,7
2,7
9,7
no,7
applied,7
research,7
com,7
size,7
light,7
when,7
factors,7
more,7
or,7
simulation,7
spot,7
shown,7
displacement,7
sensitive,7
thermal,7
housing,7
experiment,7
00,7
has,6
vol,6
11,6
november,6
issn,6
1819-6608,6
sciences,6
©2006-2014,6
asian,6
publishing,6
network,6
rights,6
reserved,6
www,6
arpnjournals,6
angle,6
shows,6
[2],6
expansion,6
j,6
standard,6
3,5
increased,5
wavelength,5
have,5
during,5
tilt,5
7,5
results,5
due,5
diameter,5
=,5
where:,5
coefficient,5
than,5
environment,5
see,4
discussions,4
publication,4
using,4
al-hamdani,4
university,4
technology,4
iraq,4
single-mode,4
employed,4
achromatic,4
over,4
studied,4
adjusting,4
error,4
radius,4
curvature,4
into,4
power,4
given,4
mode,4
because,4
systems,4
core,4
while,4
might,4
affect,4
according,4
where,4
x,4
analysis,4
c,4
at,4
5,4
increasing,4
index,4
other,4
element,4
fov,4
parameter,4
infinity,4
u,4
offset,4
value,4
stats,3
technique,3
citations,3
ali,3
some,3
related,3
method,3
zemax,3
optimize,3
doublet,3
243-343k,3
source,3
position,3
glass,3
material,3
were,3
been,3
n-bak4,3
n-sf10,3
-6,3
respectively,3
factor,3
tolerances,3
should,3
they,3
single,3
order,3
na,3
achieved,3
analyzed,3
study,3
wf,3
rx,3
ry,3
db,3
equation,3
by:,3
not,3
b,3
λ,3
materials,3
will,3
done,3
linear,3
thin,3
elements,3
assumed,3
/,3
focus,3
detector,3
increase,3
8,3
v,3
6,3
250,3
likewise,3
arrives,3
decreased,3
important,3
fabrication,3
m,3
improvement,2
article,2
authors,2
publications,2
profile,2
hayfa,2
g,2
education,2
working,2
these,2
project,2
following,2
semiconductor,2
ld,2
software,2
composed,2
μm,2
selected,2
95,2
00900,2
67800,2
varying,2
0-9o,2
taken,2
proves,2
predominant,2
affects,2
scheme,2
precise,2
accuracy,2
relaxed,2
fundamentals,2
many,2
their,2
small,2
wide,2
data,2
high,2
necessary,2
matching,2
characteristic,2
numerical,2
aperture,2
divergence,2
impacts,2
contribution,2
components,2
output,2
direct,2
such,2
lenses,2
theoretical,2
theory,2
them,2
found,2
mismatching,2
gaussian,2
elliptical,2
monomode,2
circular,2
follows,2
w,2
k,2
y,2
separation,2
out,2
l,2
below,2
process,2
figure-1,2
s,2
distance,2
waist,2
tip,2
4,2
leads,2
bring,2
additional,2
figure-2,2
caused,2
indicated,2
figure-3,2
θ,2
axis,2
performance,2
affected,2
infrared,2
dn/dt,2
quality,2
optically,2
[3,2
5]:,2
,2
objective,2
shift,2
,2
dn,2
,2
dt,2
:,2
if,2
f,2
depicted,2
figure-4,2
one,2
within,2
stop,2
mentioned,2
influence,2
double,2
3µm,2
optics,2
simulate,2
above,2
set,2
mm,2
thickness,2
000,2
could,2
figure-5,2
-0,2
figure-7,2
larger,2
drops,2
decline,2
would,2
51,2
combination,2
show,2
figure-8,2
both,2
indicate,2
e,2
figure-9,2
variation,2
so,2
finally,2
investigated,2
figure-10,2
module,2
cause,2
experiments,2
athermalized,2
low,2
choice,2
international,2
pp,2
spie,2
2009,2
author,1
profiles,1
at:,1
https://www,1
researchgate,1
net/publication/290033649,1
ﬁber,1
efﬁciency,1
·,1
january,1
including:,1
81,1
179,1
reads,1
160,1
rahid,1
college,1
al-mustansiriya,1
baghda,1
26,1
12,1
projects:,1
morphological,1
characteristics,1
silicon,1
dioxide,1
nps,1
prepared,1
sol-gel,1
astronomy,1
content,1
page,1
uploaded,1
15,1
september,1
2017,1
user,1
requested,1
enhancement,1
downloaded,1
file,1
al-hamdani1,1
rashid2,1
zainab,1
rashid,1
ghayib2,1
1department,1
optoelectronics,1
2college,1
department,1
physics,1
al-mustansiriyah,1
e-mail:,1
ali_alhamdani2003@yahoo,1
abstract,1
smf,1
appropriate,1
placed,1
used,1
55,1
thermalized,1
main,1
causing,1
fixing,1
referring,1
gather,1
different,1
types,1
significant,1
5%,1
obtained,1
account,1
coma,1
astigmatism,1
spherical,1
aberration,1
observed,1
keywords:,1
introduction,1
efficient,1
sensor,1
novel,1
sensors,1
develop,1
fast,1
recent,1
decades,1
widely,1
applications,1
durability,1
multiplexing,1
capabilities,1
bandth,1
ability,1
carry,1
big,1
electro-,1
magnetic,1
immunity,1
much,1
attention,1
being,1
low-loss,1
communication,1
its,1
bandwidth,1
making,1
suitably,1
long,1
haul,1
medium,1
large-capacity,1
transmission,1
utilize,1
fully,1
capacity,1
concerned,1
combined,1
higher,1
generally,1
include,1
cut-off,1
comprise,1
light-emitting,1
area,1
quantitatively,1
evaluating,1
help,1
researchers,1
better,1
understand,1
every,1
thus,1
adjust,1
precisely,1
less,1
errors,1
either,1
directly,1
what,1
known,1
butt,1
tapers,1
simple,1
butt-joint,1
gives,1
poor,1
typically,1
10%,1
mismatch,1
fields,1
focusing,1
established,1
confirmation,1
detailed,1
basis,1
inefficient,1
5-20%,1
wox=woyand,1
wx=wyand,1
wavenumber,1
wavefronts,1
diffracted,1
respect,1
direction,1
function,1
2286,1
b-,1
there,1
several,1
analyzing,1
work,1
supposed,1
evaluated,1
[1]:,1
get,1
below:,1
%,1
establishing,1
associated,1
three,1
kinds,1
regarding,1
indicates,1
considered,1
infer,1
influenced,1
nevertheless,1
large,1
oversize,1
markedly,1
perpendicular,1
facet,1
xl,1
incident,1
causes,1
emission,1
calculation,1
inferred,1
frequently,1
must,1
perform,1
refraction,1
especially,1
pronounced,1
region,1
most,1
suffer,1
maintain,1
acceptable,1
image,1
cases,1
refocusing,1
accomplished,1
mechanically,1
specially,1
mechanical,1
adjustment,1
manually,1
means,1
feedback,1
servo,1
others,1
compensation,1
selecting,1
suitable,1
powers,1
5],1
